feature,importance,normalized_importance,cumulative_importance
Факт 29,258.00000000000006,0.029850746268656723,0.029850746268656723
Ускорение K_5,249.00000000000003,0.028809441166261718,0.05866018743491844
"Темп роста 2 Уставный капитал , RUB",245.0,0.028346638898530604,0.08700682633344904
Темп роста 2 K_18,241.99999999999994,0.027999537197732263,0.11500636353118131
K_10 3,236.99999999999994,0.02742103436306837,0.14242739789424969
Темп прироста 1 K_13,235.0,0.027189633229202825,0.1696170311234525
"Темп роста 2 Дебиторская задолженность, RUB",215.99999999999997,0.02499132245748004,0.19460835358093254
Темп роста 2 K_10,214.00000000000003,0.02475992132361449,0.21936827490454702
Темп прироста 2 K_12,209.00000000000003,0.0241814184889506,0.24354969339349763
Темп роста 2 K_6,195.99999999999997,0.02267731111882448,0.2662270045123221
ОПК 1,191.99999999999997,0.022214508851093367,0.2884415133634155
ОПК 2,185.0,0.021404604882563925,0.3098461182459794
K_18 1,179.00000000000003,0.02071040148096726,0.33055651972694666
"Ускорение Прибыль (убыток) до налогообложения , RUB",168.00000000000003,0.0194376952447067,0.34999421497165334
"Темп роста 1 Заёмные средства (краткосрочные), RUB",164.00000000000003,0.01897489297697559,0.3689691079486289
"Темп роста 2 Капитал и резервы, RUB",158.0,0.01828068957537892,0.38724979752400784
"Темп роста 2 Основные средства , RUB",158.0,0.01828068957537892,0.40553048709938677
K_20 3,155.99999999999997,0.01804928844151336,0.42357977554090015
Факт 49,155.0,0.017933587874580586,0.44151336341548075
Факт 60,153.0,0.01770218674071503,0.4592155501561958
"Темп роста 2 Заёмные средства (краткосрочные), RUB",152.0,0.01758648617378225,0.4768020363299781
Темп прироста 1 K_11,150.0,0.017355085039916694,0.49415712136989476
Темп роста 1 K_4,145.0,0.016776582205252806,0.5109337035751476
"Темп роста 1 Уставный капитал , RUB",135.99999999999997,0.0157352771028578,0.5266689806780054
Ускорение K_6,134.00000000000003,0.015503875968992251,0.5421728566469977
K_14 1,134.00000000000003,0.015503875968992251,0.5576767326159899
Темп прироста 1 K_12,130.0,0.015041073701261136,0.5727178063172511
Ускорение K_12,130.0,0.015041073701261136,0.5877588800185123
Темп роста 2 K_17,129.00000000000003,0.014925373134328361,0.6026842531528407
K_12 3,119.00000000000003,0.013768367465000582,0.6164526206178412
K_4 2,115.0,0.013305565197269466,0.6297581858151107
K_11 2,112.00000000000001,0.012958463496471135,0.6427166493115818
"Темп роста 1 Основные средства , RUB",105.99999999999999,0.012264260094874463,0.6549809094064563
"Темп роста 1 Прибыль (убыток) до налогообложения , RUB",100.0,0.011570056693277797,0.6665509660997341
K_1 2,99.00000000000001,0.01145435612634502,0.6780053222260791
K_17 3,99.00000000000001,0.01145435612634502,0.6894596783524242
K_17 1,97.99999999999999,0.01133865555941224,0.7007983339118364
Темп роста 2 K_12,95.99999999999999,0.011107254425546683,0.7119055883373832
Темп прироста 2 K_13,95.0,0.010991553858613907,0.7228971421959971
K_13 2,89.00000000000001,0.01029735045701724,0.7331944926530143
Темп роста 1 K_10,87.99999999999999,0.01018164989008446,0.7433761425430987
K_4 1,85.99999999999999,0.009950248756218904,0.7533263912993176
Темп прироста 2 K_11,85.99999999999999,0.009950248756218904,0.7632766400555364
Темп роста 2 K_5,85.0,0.009834548189286127,0.7731111882448225
K_5 1,85.0,0.009834548189286127,0.7829457364341086
K_1 1,80.99999999999999,0.009371745921555014,0.7923174823556636
K_1 3,80.99999999999999,0.009371745921555014,0.8016892282772186
Ускорение K_17,79.0,0.00914034478768946,0.810829573064908
"Темп роста 2 Прибыль (убыток) до налогообложения , RUB",76.0,0.008793243086891125,0.8196228161517991
"Темп роста 1 Капитал и резервы, RUB",75.0,0.008677542519958347,0.8283003586717574
"Темп роста 2 Прибыль (убыток) от продажи, RUB",72.99999999999999,0.00844614138609279,0.8367465000578502
Темп прироста 2 K_18,72.00000000000001,0.008330440819160016,0.8450769408770102
Темп роста 2 K_20,69.0,0.00798333911836168,0.8530602799953719
K_18 2,67.99999999999999,0.0078676385514289,0.8609279185468008
Ускорение K_4,65.0,0.007520536850630568,0.8684484553974314
"Ускорение Прибыль (убыток) от продажи, RUB",63.99999999999999,0.007404836283697789,0.8758532916811292
"Темп роста 1 Долгосрочные обязательства, RUB",61.00000000000001,0.007057734582899457,0.8829110262640287
"Темп роста 1 Прибыль (убыток) от продажи, RUB",61.00000000000001,0.007057734582899457,0.8899687608469282
Темп прироста 1 K_17,60.0,0.006942034015966678,0.8969107948628949
K_20 1,58.99999999999999,0.0068263334490339,0.9037371283119289
K_13 1,57.000000000000014,0.006594932315168346,0.9103320606270973
Темп роста 2 K_4,56.00000000000001,0.0064792317482355675,0.9168112923753329
Факт 54,52.99999999999999,0.006132130047437232,0.92294342242277
"Темп роста 2 Долгосрочные обязательства, RUB",52.99999999999999,0.006132130047437232,0.9290755524702072
Темп роста 1 K_12,51.00000000000001,0.0059007289135716776,0.9349762813837789
K_12 1,46.00000000000001,0.005322226078907788,0.9402985074626866
"Темп роста 1 Дебиторская задолженность, RUB",43.99999999999999,0.00509082494504223,0.9453893324077288
Темп роста 1 K_18,43.99999999999999,0.00509082494504223,0.950480157352771
Темп роста 1 K_5,38.0,0.004396621543445563,0.9548767788962166
Темп роста 1 K_6,36.00000000000001,0.004165220409580008,0.9590419993057966
K_11 3,36.00000000000001,0.004165220409580008,0.9632072197153766
K_20 2,36.00000000000001,0.004165220409580008,0.9673724401249566
K_17 2,36.00000000000001,0.004165220409580008,0.9715376605345366
K_12 2,36.00000000000001,0.004165220409580008,0.9757028809441166
Темп роста 1 K_20,33.99999999999999,0.00393381927571445,0.9796367002198311
K_10 2,31.000000000000007,0.003586717574916118,0.9832234177947472
"Темп роста 2 Нематериальные активы, RUB",26.999999999999996,0.003123915307185005,0.9863473331019322
K_10 1,26.000000000000004,0.0030082147402522275,0.9893555478421845
"Темп роста 1 Заёмные средства (долгосрочные), RUB",23.999999999999996,0.002776813606386671,0.9921323614485712
K_5 2,21.000000000000004,0.0024297119055883376,0.9945620733541596
K_11 1,21.000000000000004,0.0024297119055883376,0.996991785259748
Темп роста 1 K_17,11.999999999999998,0.0013884068031933354,0.9983801920629413
"Темп роста 2 Заёмные средства (долгосрочные), RUB",7.000000000000001,0.0008099039685294459,0.9991900960314707
Факт 59,5.0,0.0005785028346638898,0.9997685988661346
Факт 2,0.0,0.0,1.0000000000000002
Факт 30,0.0,0.0,1.0000000000000002
Факт 40,0.0,0.0,1.0000000000000002
Факт 41,0.0,0.0,1.0000000000000002
Факт 42,0.0,0.0,1.0000000000000002
Факт 46,0.0,0.0,1.0000000000000002
Факт 48,0.0,0.0,1.0000000000000002
Факт 50,0.0,0.0,1.0000000000000002
Факт 51,0.0,0.0,1.0000000000000002
Факт 55,0.0,0.0,1.0000000000000002
Факт 57,0.0,0.0,1.0000000000000002
Факт 58,0.0,0.0,1.0000000000000002
Факт 37,0.0,0.0,1.0000000000000002
Факт 39,0.0,0.0,1.0000000000000002
Факт 1,0.0,0.0,1.0000000000000002
Факт 14,0.0,0.0,1.0000000000000002
Факт 27,0.0,0.0,1.0000000000000002
Факт 24,0.0,0.0,1.0000000000000002
Факт 3,0.0,0.0,1.0000000000000002
Факт 31,0.0,0.0,1.0000000000000002
Факт 32,0.0,0.0,1.0000000000000002
Факт 23,0.0,0.0,1.0000000000000002
"Темп роста 1 Нематериальные активы, RUB",1.9999999999999998,0.0002314011338655559,1.0000000000000002
Факт 33,0.0,0.0,1.0000000000000002
Факт 7,0.0,0.0,1.0000000000000002
